,start_station_name,value
1515,W 21 St & 6 Ave,358
1644,West St & Chambers St,339
472,Broadway & W 58 St,293
278,6 Ave & W 33 St,285
438,Broadway & E 14 St,264
1442,University Pl & E 14 St,263
440,Broadway & E 21 St,256
8,1 Ave & E 68 St,255
756,E 33 St & 1 Ave,248
462,Broadway & W 25 St,241
1645,West St & Liberty St,238
29,12 Ave & W 40 St,236
1530,W 31 St & 7 Ave,235
317,8 Ave & W 38 St,231
316,8 Ave & W 33 St,224
24,11 Ave & W 41 St,219
563,Cleveland Pl & Spring St,219
312,8 Ave & W 16 St,218
279,6 Ave & W 34 St,213
764,E 40 St & Park Ave,207
